Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
21A.859[J],Social Theory and Analysis,"Same subject asSTS.250[J]Major theorists and theoretical schools since the late 19th century. Marx, Weber, Durkheim, Bourdieu, Levi-Strauss, Geertz, Foucault, Gramsci, and others. Key terms, concepts, and debates.",Graduate,Spring,,,3-0-9,S. Helmreich,,,,,,
21A.901,Independent Study in Anthropology,",,,TBA.sOpportunity for independent study, guided research, practicum, or field work under regular supervision by a faculty member. Projects require prior approval of the instructor and Head of the Anthropology Program. Normal maximum is 6 units; exceptional 9- or 12-unit projects occasionally approved.No required or recommended textbooks",Undergraduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.902,Independent Study in Anthropology,",,,TBA.sOpportunity for independent study, guided research, practicum, or field work under regular supervision by a faculty member. Projects require prior approval of the instructor and Head of the Anthropology Program. Normal maximum is 6 units; exceptional 9- or 12-unit projects occasionally approved.No required or recommended textbooks",Undergraduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.929,Graduate Independent Study,",,,TBA.sOpportunity for study or projects at an advanced level with an Anthropology faculty member.No required or recommended textbooks",Graduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.939,Graduate Independent Study,",,,TBA.sOpportunity for study or projects at an advanced level with an Anthropology faculty member.No required or recommended textbooks",Graduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.949,Graduate Independent Study,",,,TBA.sOpportunity for study or projects at an advanced level with an Anthropology faculty member.No required or recommended textbooks",Graduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.989[J],HASTS Dissertation Writing Workshop (New),"Same subject as21H.960[J],STS.860[J]URL:https://sts-program.mit.edu/academics/subjects/sts860-fa24/sBi-weekly seminar for students in the doctoral program in History, Anthropology, and Science, Technology & Society HASTS who have completed research and are in the process of writing their dissertations. Each class focuses on a particular element of the writing: organizing chapters, engaging the secondary literature, the art of the vignette, etc. Depending on student needs, some classes may be tailored to anthropological writing or to historical writing. Students are given ample opportunity to workshop draft passages and chapters. For PhD students only. PhD students outside the HASTS program require permission of instructor.No required or recommended textbooks",Graduate,Fall,,,1-0-5,W. Deringer,"W11-1, E51-165",,,,,
21A.S01,Special Subject in Anthropology,Seminar or lecture on a topic in anthropology that is not covered in the regular curriculum.,Undergraduate,Spring,,,,D. Asfaha,,,,,,Units arranged
21A.S02,Special Subject in Anthropology,Seminar or lecture on a topic in anthropology that is not covered in the regular curriculum.,Undergraduate,IAP,,,,"G. Jones, C. Taylor-Butler",,,,,,Units arranged
21A.S10,Special Graduate Subject in Anthropology,Seminar or lecture on a topic in anthropology that is not covered in the regular curriculum.Staff,Graduate,Spring,,,,,,,,,,Units arranged
21A.S11,Special Graduate Subject in Anthropology,Seminar or lecture on a topic in anthropology that is not covered in the regular curriculum.Staff,Graduate,Fall,,,,,,,,,,Units arranged
21A.THT,Anthropology Pre-Thesis Tutorial,",,,TBA.sStudents writing a thesis work with an advisor to develop research topics, review relevant research and scholarship, frame research questions, choose an appropriate methodology for data collection and analysis, and draft the introductory and methodology sections of their theses. Includes substantial practice in writing with revision and oral presentations.No required or recommended textbooks",Undergraduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.THU,Undergraduate Thesis in Anthropology,",,,TBA.sCompletion of work on the senior major thesis under supervision of a faculty thesis advisor.  Includes oral presentation of thesis progress early in the term, assembling and revising the final text, and a final meeting with a committee of faculty evaluators to discuss the successes and limitations of the project.No required or recommended textbooks",Undergraduate,Summer,,21A.THT ,,C. Carlson,,,,,,Units arranged
21A.UR,Undergraduate Research,",,,TBA.sIndividual participation in an ongoing research project. For students in the Undergraduate Research Opportunities Program.No required or recommended textbooks",Undergraduate,Summer,,,,C. Carlson,,,,,,Units arranged
21A.URG,Undergraduate Research,",,,TBA.sIndividual participation in an ongoing research project.  For students in the Undergraduate Research Opportunities Program.No required or recommended textbooks",Undergraduate,Summer,,,,C. Carlson,,,,,,Units arranged
CMS.100,Introduction to Media Studies,",orMW1-2.3013-1143orTR1-2.305-231sOffers an overview of the social, cultural, political, and economic impact of mediated communication on modern culture. Combines critical discussions with experiments working with different media. Media covered include radio, television, film, the printed word, and digital technologies. Topics include the nature and function of media, core media institutions, and media in transition. Enrollment limited.Fall:Spring:No required or recommended textbooks",Undergraduate,Spring,,,3-0-9,"P. Duong, A. Gibson","MW10-11.30, 56-167",,,,,
CMS.125[J],"Liberalism, Toleration, and Freedom of Speech (New)","Same subject as17.043[J],24.150[J]Examines theories and principles that underlie the concept of free speech in the United States, the historical context in which the values of free speech and toleration emerged, and the philosophical arguments that were and are made for and against them. Students analyze a variety of contexts and communicative practices, including new media technologies, to debate how ""speech"" can be described and when it should be appropriately regulated. Considers current disputes over free speech on college campuses.",Undergraduate,Fall,,,3-0-9,"A. Byrne, B. Skow",,,,,,
CMS.150[J],Black Matters: Introduction to Black Studies,"Same subject as24.912[J],21H.106[J],21L.008[J],21W.741[J],WGS.190[J]Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.",Undergraduate,Spring,,,3-0-9,"M. DeGraff, D. Fox Harrell, D. Wood",,,,,,
CMS.300,Game Studies,"sIntroduction to the interdisciplinary study of videogames as texts through an examination of their cultural, educational, and social functions in contemporary settings. Students play and analyze videogames while reading current research and theory from a variety of sources in the sciences, social sciences, humanities, and industry. Assignments focus on game analysis in the context of the theories discussed in class. Includes regular reading, writing, and presentation exercises. No prior programming experience required. Students taking graduate version complete additional assignments. Limited to 20.No required or recommended textbooks",Undergraduate,Fall,,,3-3-6,M. Jakobsson,"TR11-12.30, E15-335",,,,,
CMS.301,Game Design Methods,"Provides an introduction to the process of designing games and playful experiences. Familiarizes students with concepts, methods, techniques and tools used in the design of a wide variety of games. Focuses on aspects of the process such as rapid prototyping, play testing, and design iteration using a player-centered approach. Students work in project groups where they engage with a series of confined exercises, practice communicating design ideas, and discuss their own and others work in a constructive manner. No prior programming experience required. Limited to 15.",Undergraduate,Spring,,,3-0-9,"S. Verrilli, M. Jakobsson P. Tan",,,,,,
CMS.303,"DJ History, Technique, and Technology",",sFall:Spring:Textbooks Fall 2024",Undergraduate,Spring,,,3-0-9,P. Tan,"MW11-12.30, E15-318",,,,,
CMS.306,Making Comics and Sequential Art,"Applied introduction to comics and sequential art production. Builds skills in how to develop storylines; develop and draw characters, panels, and backgrounds; prepare for print production; and comprehend the basics of sequential language, composition, and layout. Students engage with crucial personal and political issues at stake across a range of comics genres: superhero, biographical, and countercultural. Addresses not just how we create comics, but why we create comics. Students taking graduate version complete additional assignments. Limited to 16.",Undergraduate,Spring,,,3-0-9,J. Wiser,,,,,,
CMS.307,Critical Worldbuilding,"Studies the design and analysis of invented or constructed worlds for narrative media, such as television, films, comics, and literary texts.  Provides the practical, historical and critical tools with which to understand the function and structure of imagined worlds.  Examines world-building strategies in the various media and genres in order to develop a critical and creative repertoire.  Participants create their own invented worlds. Students taking graduate version complete additional assignments. Limited to 13.",Undergraduate,Fall,,,3-3-6,J. Diaz,,,,,,
CMS.309[J],Transmedia Storytelling: Modern Science Fiction,"Same subject as21W.763[J]Explores transmedia storytelling by investigating how science fiction stories are told across different media, such as the short story, the novel, the screenplay, moving image, and games. Students consider issues of aesthetics, authorship, and genre, while also contextualizing discussion within the broader framework of the political issues raised by film, TV, and other kinds of science fiction texts. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,,3-2-7,S. Lewitt,,,,,,
CMS.311[J],Media in Weimar and Nazi Germany,"Not offered regularly; consult departmentSame subject as21G.055[J]Debates over national and media identity in Weimar and Nazi Germany. Production and use of media under extreme political and social conditions with a focus on films such as Nosferatu, Berlin, M, and Triumph des Willens and other media. Media approached as both texts and systems. Considers the legacy of the period, in terms of stylistic influence e.g. film noir, techniques of persuasion, and media's relationship to social and economic conditions. Taught in English. Enrollment limited.Staff",Undergraduate,Fall,,,2-2-8,,,,,,,
CMS.313,Silent Film,"Not offered regularly; consult departmentExamines how the key elements of today's films - composition, continuity editing, lighting, narrative structure - were originally created. Studies the history of cinema, from its origins in the late 19th century to the transition to sound in the late 1920s and early 1930s. Students view a range of films both mainstream and experimental from all over the world, with a particular focus on US productions. Emphasis on how color, sound, and other developments paved the way for today's technological innovations. Students taking graduate version complete additional assignments.Staff",Undergraduate,Spring,,,3-3-6,,,,,,,
CMS.314[J],Phantasmal Media: Computer-Based Art Theory and Practice,"Not offered regularly; consult departmentSame subject as21W.753[J]Engages students in theory and practice of using computational techniques for developing expressive digital media works. Surveys approaches to understanding human imaginative processes, such as constructing concepts, metaphors, and narratives, and applies them to producing and understanding socially, culturally, and critically meaningful works in digital media. Readings engage a variety of theoretical perspectives from cognitive linguistics, literary and cultural theory, semiotics, digital media arts, and computer science. Students produce interactive narratives, games, and related forms of software art. Some programming and/or interactive web scripting experience e.g., Flash, Javascript is desirable. Students taking the graduate version complete a project requiring more in-depth theoretical engagement.Staff",Undergraduate,Fall,,,3-0-9,,,,,,,
CMS.315[J],Understanding Television,"Not offered regularly; consult departmentSame subject as21L.432[J]A cultural approach to television's evolution as a technology and system of representation. Considers television as a system of storytelling and mythmaking, and as a cultural practice studied from anthropological, literary, and cinematic perspectives. Focuses on prime-time commercial broadcasting, the medium's technological and economic history, and theoretical perspectives. Considerable television viewing and readings in media theory and cultural interpretation are required. Previously taught topics include American Television: A Cultural History. Students taking graduate version complete additional assignments.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.334[J],"South Asian America: Transnational Media, Culture, and History","Same subject as21W.788[J]Examines the history of South Asian immigration, sojourning, and settlement from the 1880s to the present. Focuses on the US as one node in the global circulation, not only of people, but of media, culture and ideas, through a broader South Asian diaspora. Considers the concept of ""global media"" historically; emphasis on how ideas about, and self-representations of, South Asians have circulated via books, political pamphlets, performance, film, video/cassette tapes, and the internet. Students analyze and discuss scholarly writings, archival documents, memoirs, fiction, blogs and films, and write papers drawing on course materials, lectures, and discussions. Limited to 18.",Undergraduate,Spring,,,3-0-9,V. Bald,,,,,,
CMS.335[J],Short Attention Span Documentary,"Same subject as21W.790[J]sFocuses on the production of short 1- to 5-minute digital video documentaries: a form of non-fiction filmmaking that has proliferated in recent years due to the ubiquity of palm-sized and mobile phone cameras and the rise of web-based platforms, such as YouTube. Students shoot, edit, workshop and revise a series of short videos meant to engage audiences in a topic, introduce them to new ideas, and/or persuade them. Screenings and discussions cover key principles of documentary film - narrative, style, pace, point of view, argument, character development - examining how they function and change in short format. Students taking graduate version complete additional assignments. Limited to 16.No textbook information available",Undergraduate,Fall,,,3-0-9,V. Bald,"TR1-2.30, 5-232",,,,,
CMS.336[J],Social Justice and The Documentary Film,Same subject as21W.786[J]Explores the history and current state of social-issue documentary. Examines how cultural and political upheaval and technological change have converged at different moments to bring about new waves of activist documentary film production. Particular focus on films and other non-fiction media of the present and recent past. Students screen and analyze a series of key films and work in groups to produce their own short documentary using digital video and computer-based editing. Students taking graduate version complete additional assignments. Limited to 18.,Undergraduate,Spring,,,3-0-9,V. Bald,,,,,,
CMS.337[J],"Intersectionality, Neurodiversity, and Disability (New)","Same subject asWGS.137[J]Examines key theoretical concepts, texts, and other media forms by disabled and neurodivergent writers, theorists, activists, and artists. Investigates medical and social models of disability and their interconnections with race, gender, class, sexuality, age, ethnicity, etc. Uses an intersectional lens to address emerging connections between disability and the environment, investigating issues of accessibility in natural and built environments. Explores themes of visibility/invisibility, community, vulnerability, power, access, and creativity.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.338,Innovation in Documentary: Technologies and Techniques,"Not offered regularly; consult departmentDiscusses emerging technologies and techniques available to media-makers e.g., location-based technologies, transmedia storytelling, crowdsourcing, and interactivity and their implications on the film and television documentary. Studies the development of these tools and considers the many new directions in which they may take the genre. Includes screenings, meetings with documentary makers, and an experimental component in which students can explore new approaches to documentary production. Students taking graduate version complete additional assignments.Staff",Undergraduate,Fall,,CMS.100 or permission of instructor ,3-0-9,,,,,,,
CMS.339,Virtual Reality and Immersive Media Production,"Provides an overview of historical developments and current innovations in virtual reality e.g., gear, software, and storytelling techniques and looks into new trends in augmented, mixed and holographic reality. Includes practical instruction and a step-by-step exploration of the fundamentals of virtual reality creation - from new visual languages and grammars, to storyboarding, scripting, sound design and editing, to new and innovative ways to capture, scan and reproduce 360-degree images. Students taking graduate version complete additional assignments. Limited to 18.",Undergraduate,Spring,,,3-0-9,A. SadeghiKiva,,,,,,
CMS.340,Immersive Media Studies,"sCritical examination of the history, aesthetics, and politics of virtual reality and related media. Focuses on virtual space and embodiment; cultural reception and industry hype; accessibility, surveillance, and data privacy; and debates surrounding the use of immersive media in social, work, art, and entertainment contexts. Projects include experimentation with VR development tools and critical analysis of existing immersive works. Graduate version includes additional research. Enrollment limited to 15.No required or recommended textbooks",Undergraduate,Fall,,,3-0-9,P. Roquet,"F2-5, 4-253",,,,,
CMS.341,Immersive Social Worlds,"Focuses on critical media sociology of immersive social worlds, from digital environments and avatar-based worlds to live action role-play LARP and theme parks. Draws on both historical and contemporary cases. Investigates key issues including communication and community; authorship and co-creativity; embodiment and identity; and ownership, governance, and management. Attention given to cultural and socio-technical nature of these environments and their ongoing construction within a broader media system. Students taking graduate version complete additional assignments. Enrollment limited to 15.",Undergraduate,Fall,,,3-0-9,T. L. Taylor,,,,,,
CMS.342[J],Designing Virtual Worlds,"Same subject as2.177[J],CMS.942[J]sThree primary areas of focus are: creating new Virtual Reality experiences; mapping the state of emerging tools; and hosting guests - leaders in the VR/XR community, who serve as coaches for projects. Students have significant leeway to customize their own learning environment. As the field is rapidly evolving, each semester focuses on a new aspect of virtual worlds, based on the current state of innovations. Students work in teams of interdisciplinary peers from Berklee College of Music and Harvard University. Students taking graduate version complete additional assignments.No textbook information available",Undergraduate,Fall,,,4-2-6 [P/D/F],K. Zolot,"F1.30-4.30, 3-370",,,,,
CMS.343[J],The Art and Science of Time Travel,"Same subject as2.984[J]sExplores time travel and other physical paradoxes—black holes, wormholes, and the multiverse—in the contexts of human narrative and contemporary scientific understanding. Instruction provided in the fundamental science of time travel in relativity and quantum mechanics. Students read and view classic time travel narratives in visual art and in film, and construct their own original time travel narratives. Limited to 20.Textbooks Fall 2024",Graduate,Fall,,8.02  18.02 ,3-0-9,"S. Lloyd, M. Reilly","W2.30-5.30, 1-134",,,,,
CMS.351[J],Digital Media in Japan and Korea,"Same subject as21G.067[J]Examines the social, cultural, and political stakes of digital culture in Japan and Korea. Focuses on digital media use and abuse, including the internet, streaming and mobile media, gaming, robots, and augmented realities; the digital remediation of older media; and methods for the study of online life. By considering how digital media use has developed in each country and reshaped identity, politics, public space, and creative practice, students build a conceptual and critical vocabulary for the comparative study of algorithmic cultures. Taught in English.",Undergraduate,Spring,,,3-0-9,P. Roquet,,,,,,
CMS.352[J],Cinema in Japan and Korea,"Same subject as21G.094[J]Focuses on landmark art cinema from both countries while providing a thorough introduction to film style. Each week examines a different component of film form, using the close analysis of specific films in their cultural and historical context. Explores the use of video essays as a form of critical analysis. Taught in English.",Undergraduate,Spring,,,3-0-9,P. Roquet,,,,,,
CMS.353[J],The New Latin American Novel,Not offered regularly; consult departmentSame subject as21G.072[J],Undergraduate,Fall,,,3-0-9,P. Duong,,,,,,
CMS.354[J],Japanese Media Cultures,"Same subject as21G.065[J]Examines storytelling media in twentieth and twenty-first century Japan, situating emerging media aesthetics and practices alongside broader shifts in cultural and social life. Engages with pivotal works in a wide range of media including film, literature, anime, manga, and video games, as well as critical concepts in Japanese media studies. Taught in English. 21G.593 includes additional work in Japanese. Enrollment limited.",Undergraduate,Spring,,,3-0-9,Consult P. Roquet,,,,,,
CMS.355[J],Latin America and the Global Sixties: Counterculture and Revolution,"Same subject as21G.070[J]Close reading of political issues, cultural artifacts, and social actors of Latin America during and in the wake of the revolutionary 1960s. Examines how culture and politics addressed the need to conceptually organize a series of events that were equally momentous and confusing. Questions the established stereotypes and assumptions about Latin America and the sixties that are portrayed in its contemporary, often nostalgic, revivals. Focuses on the ideas that defined Latin America's participation in a global trend of political upheavals, emerging youth cultures, and demands for social justice. Taught in English. Enrollment limited.",Undergraduate,Spring,,,3-0-9,P. Duong,,,,,,
CMS.356[J],Advertising and Media: Comparative Perspectives,"Not offered regularly; consult departmentSame subject as21G.036[J],CMS.888Compares modern and contemporary advertising culture in China, the US, and other emerging markets. First half focuses on branding in the old media environment; second half introduces the changing practice of advertising in the new media environment. Topics include branding and positioning, media planning, social media campaigns, cause marketing 2.0, social TV, and mobility marketing. Required lab work includes interactive sessions in branding a team product for the US or a European country and China markets. Taught in English and requires no knowledge of Chinese. Students taking graduate version complete additional assignments.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.357[J],"Creation of a Continent: Media Representations of Hispanic America, 1492 to present","Same subject as21G.731[J],21H.274[J]Traces the creation of a new literature in Spanish to record and interpret New World experiences. Begins with excerpts from Columbus's diary and ends with writings on the late 19th-century Cuban and Puerto Rican independence movements. Pairs some of these pre-20th-century texts with more recent literary and film interpretations of the first 400 years of Hispanic American history. Conducted in Spanish.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.358[J],The Short Form: Literature and New Media Cultures in the Hispanic World,"Same subject as21G.736[J]Examines the aesthetics of the brief form across a variety of media and genres in Latin America and Spain, from short stories and snapshots to newspapers and Twitter. Explores the history and social significance of four short genres in the Hispanic world: the short story, the crónica, the poem, and the song. Discusses the rich literary and critical tradition that relates narrative length and temporality to the prose and the lyric in Spanish speaking cultures. With an emphasis on the 20th- and 21st-century epistemologies of acceleration and the remediation of literary theories of brevity, analyzes the relationship between temporality, aesthetic form, and media technologies, and the way these topics have taken shape in the imagination of writers, artists, and audiences in historically specific and politically significant contexts. Taught in Spanish. Limited to 18.",Undergraduate,Spring,,,3-0-9,P. Duong,,,,,,
CMS.359[J],"Three Kingdoms: From History to Fiction, Comic, Film, and Game","Same subject as21G.042[J],21H.352[J],21L.492[J]Analyzing core chapters of the great Chinese epic novel, Three Kingdoms, and its adaptations across diverse media, considers what underlies the appeal of this classic narrative over the centuries. Through focus on historical events in the period 206 BC to AD 280, examines the representation of power, diplomacy, war, and strategy, and explores the tension among competing models of political authority and legitimacy. Covers basic elements of classical Chinese political and philosophical thought, and literary and cultural history. Final group project involves digital humanities tools. Readings in translation. Films and video in Chinese with English subtitles.",Undergraduate,Spring,,,3-0-9,E. Teng,,,,,,
CMS.360,Introduction to Civic Media,"Not offered regularly; consult departmentExamines civic media in comparative, transnational and historical perspectives. Introduces various theoretical tools, research approaches, and project design methods. Students engage with multimedia texts on concepts such as citizen journalism, transmedia activism, media justice, and civic, public, radical, and tactical media. Case studies explore civic media across platforms print, radio, broadcast, internet, contexts from local to global, present-day to historical, and use dialogic, contentious, hacktivist. As a final project, students develop a case study or project proposal. Students taking the graduate version complete additional assignments. Limited to 20.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.361,Networked Social Movements: Media and Mobilization,"Not offered regularly; consult departmentProvides an overview of social movement studies as a body of theoretical and empirical work, with an emphasis on understanding the relationship between social movements and the media. Explores multiple methods of social movement investigation, including textual and media analysis, surveys, interviews, focus groups, participant observation, and co-research. Covers recent innovations in social movement theory, as well as new data sources and tools for research and analysis. Includes short papers, a literature review, and a final research project. Students taking graduate version complete additional assignments. Limited to 16.",Undergraduate,Spring,,,3-0-9,A. Gibson,,,,,,
CMS.362,Civic Media Collaborative Design Studio,"Not offered regularly; consult departmentProject-based studio focusing on collaborative design of civic media provides a service-learning opportunity for students interested in working with community organizations. Multidisciplinary teams create civic media projects based on real-world community needs. Covers co-design methods and best practices to include the user community in iterative stages of project ideation, design, implementation, testing, and evaluation. Students taking graduate version complete additional assignments. Limited to 16.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.374[J],"Transmedia Art, Extraction, and Environmental Justice","Not offered regularly; consult departmentSame subject as4.376[J]Exploration of today's extractive economies and the role that artists, media-makers, and transmedia producers play in shaping public perception, individual choices, and movement-building towards sustainability. Traces the contingent geological, material, community, and toxic histories of extracted materials used throughout our built environment, as well as civic resistance and reform that could alter extraction practices. Scaffolded workshops with artists and media producers support students' production of creative documentary and other media projects. Students taking graduate version complete additional assignments.Staff",Undergraduate,Spring,,,2-3-7,,,,,,,
CMS.375,Reading Climate Through Media,"sExplores how climate is construed in the contemporary media in order to gain a better understanding of how views of climate change are shaped and received in the public sphere. Studies the pathways that take us from climate science to media content, from the big data of global scale to the particulars and narratives of the human experience. Surveys a variety of media forms--reports, articles, comics, videos, films, photography, poetry and fiction--that reflect on the contemporary human challenges of dealing with a changing natural environment of our own making. Emphasizes the role of media in shaping public opinion, both in the US and globally, and its influence on public and voter perceptions on which a vast body of regulation and funding for environmental management is based. Students work individually and in teams to produce a selection of the media forms studied. Students taking graduate version complete additional assignments. Limited to 20.Textbooks Fall 2024",Undergraduate,Fall,,,3-0-9,K. Tarker,"R EVE (7-10 PM), 2-103",,,,,
CMS.376,History of Media and Technology,"sSurveys the interrelated histories of communications media and technological development, from the emergence of 19th-century forms of mass print media and telegraphy, to sound capture and image-based forms e.g., film, radio, and television, to the shift from analog to digital cultures. Examines how new forms of communication exert social, political, and cultural influences in the global context. Explores how technological innovation and accelerating media affect social values and behaviors in the popular and global adoption of a media device. Includes two papers and a research project on aspects of media history. Students taking graduate version complete additional assignments. Enrollment limited.Textbooks Fall 2024",Undergraduate,Fall,,,3-0-9,M. Battles,"R EVE (7-10 PM), 1-273",,,,,
CMS.400,Media Systems and Texts,"Explores theoretical, historical and critical approaches to the comparative study of media. Examines media from three perspectives: the historical evolution of particular media forms media in transition; the migration of particular narratives across different media forms trans-media texts; and the ways in which media texts and systems cross cultural and national boundaries global crossings. Instruction and practice in written and oral communication provided.",Undergraduate,Spring,,,3-0-9,P. Roquet,,,,,,
CMS.405,Visual Design,"sExamines the process of making and sharing visual artifacts using a trans-cultural, trans-historical, constructionist approach. Explores the relationship between perceived reality and the narrative imagination, how an author's choice of medium and method constrains the work, how desire is integrated into the structure of a work, and how the cultural/economic opportunity for exhibition/distribution affects the realization of a work. Instruction and practice in written and oral communication provided. Limited to 20.Textbooks Fall 2024",Undergraduate,Fall,,21L.011  CMS.100 ,3-0-9,O. Padilla,"TR3-4.30, 1-273",,,,,
CMS.406[J],The Anthropology of Sound (New),"Same subject as21A.505[J],STS.065[J]sExamines the ways humans experience sound and how perceptions and technologies of sound emerge from cultural, economic, and historical worlds. Consider how the sound/noise/music boundaries have been imagined, created, and modeled across sociocultural and historical contexts. Learn how environmental, linguistic, and musical sounds are construed cross-culturally as well as the rise of telephony, architectural acoustics, sound recording, multi-channel and spatial mix performance, and the globalized travel of these technologies. Questions of sound ownership, property, authorship, remix, and copyright in the digital age are also addressed.No required or recommended textbooks",Undergraduate,Fall,,,3-0-9,I. Condry,"W1-4, E25-117",,,,,
CMS.407,Sound Studies,"Not offered regularly; consult departmentExplores the ways in which humans experience the realm of sound and how perceptions and technologies of sound emerge from cultural, economic, and historical worlds. Examines how environmental, linguistic, and musical sounds are construed cross-culturally. Describes the rise of telephony, architectural acoustics, and sound recording, and the globalized travel of these technologies. Addresses questions of ownership, property, authorship, and copyright in the age of digital file sharing. Particular focus on how the sound/noise boundary is imagined, created and modeled across diverse sociocultural and scientific contexts. Auditory examples--sound art, environmental recordings, music--will be provided and invited. Instruction and practice in written and oral communication provided. Limited to 20.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.418[J],Gender in the Visual Arts (New),"Not offered regularly; consult departmentSame subject asWGS.118[J]Explores gender and race through interdisciplinary perspectives from film and visual studies, art history, and performance studies. Provides an overview of methodologies and practices, with an emphasis on contemporary artists working across mediums. Contextualizes artistic output within broader systems of power and cultural institutions. Reflects on the politics of visibility, hypervisibility, and invisibility through an intersectional feminist approach that draws on perspectives from trans*, queer, feminist, dis/ability, and critical race theory. Lectures are supplemented by screenings, discussions, workshops, guest lectures, and optional field trips. Culminates in a final creative project that includes a presentation.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.481[J],Queer Cinema and Visual Culture (New),"Not offered regularly; consult departmentSame subject asWGS.181[J]Analyzes mainstream, popular films produced in the post-WWII 20th century US as cultural texts that shed light on ongoing historical struggles over gender identity and appropriate sexual behaviors. Traces the history of LGBTQ/queer film through the 20th and into the 21st century. Examines the effect of the Hollywood Production Code and censorship of sexual themes and content, and the subsequent subversion of queer cultural production in embedded codes and metaphors. Also considers the significance of these films as artifacts and examples of various aspects of queer theory.Staff",Undergraduate,Spring,,,3-0-9,,,,,,,
CMS.524[J],Thinking on Your Feet: Dance as a Learning Science (New),"Same subject asSTS.024[J]sExplores the past, present, and future of dance as a learning science. Combines readings and discussion with experiential learning. Readings span the science of movement and learning, studies of educational dance, and research on school reform. Lab exercises led by guest artists introduce the rich possibilities of dance for teaching subjects across the curriculum. For their final project, students choreograph a lesson on a topic of their choosing. This is an introductory class; no dance background is required. Limited to 20 students.No required or recommended textbooks",Undergraduate,Fall,,,3-0-9,J. S. Light,"TR11-12.30, 1-134",,,,,
CMS.586[J],Introduction to Education: Looking Forward and Looking Back on Education,"Same subject as11.124[J]One of two introductory subjects on teaching and learning science and mathematics in a variety of K-12 settings. Topics include education and media, education reform, the history of education, simulations, games, and the digital divide. Students gain practical experience through weekly visits to schools, classroom discussions, selected readings, and activities to develop a critical and broad understanding of past and current forces that shape the goals and processes of education, and explores the challenges and opportunities of teaching. Students work collaboratively and individually on papers, projects, and in-class presentations. Limited to 25.No textbook information available",Undergraduate,Fall,,,3-6-3,M. Hughes,"TR2.30-4, 5-134",TBA,,,,
CMS.587[J],Introduction to Education: Understanding and Evaluating Education,"Same subject as11.125[J]One of two introductory subjects on teaching and learning science and mathematics in a variety of K-12 settings. Topics include student misconceptions, formative assessment, standards and standardized testing, multiple intelligences, and educational technology. Students gain practical experience through weekly visits to schools, classroom discussions, selected readings, and activities to develop a critical and broad understanding of past and current forces that shape the goals and processes of education, and explores the challenges and opportunities of teaching. Students work collaboratively and individually on papers, projects, and in-class presentations. Limited to 25.",Undergraduate,Spring,,,3-6-3,"J. Gardony, M. Hughes",,,,,,
CMS.590[J],Design and Development of Games for Learning,"Same subject as11.127[J],CMS.863[J]Immerses students in the process of building and testing their own digital and board games in order to better understand how we learn from games. Explores the design and use of games in the classroom in addition to research and development issues associated with computer-based desktop and handheld and non-computer-based media. In developing their own games, students examine what and how people learn from them including field testing of products, as well as how games can be implemented in educational settings. All levels of computer experience welcome. Students taking graduate version complete additional assignments.",Undergraduate,Spring,,,3-6-3,J. Haas,,,,,,
CMS.591[J],Educational Theory and Practice I,"Same subject as11.129[J]sConcentrates on core set of skills and knowledge necessary for teaching in secondary schools. Topics include classroom management, student behavior and motivation, curriculum design, educational reform, and the teaching profession. Classroom observation is a key component. Assignments include readings from educational literature, written reflections on classroom observations, practice teaching and constructing curriculum. The first of the three-course sequence necessary to complete the Teacher Education Program. Limited to 15; preference to juniors and seniors.Textbooks Fall 2024",Undergraduate,Fall,,CMS.586 ,3-0-9,G. Schwanbeck,"TR4-5.30, 5-134",,,,,
CMS.592[J],Educational Theory and Practice II,"Same subject as11.130[J]Concentrates on the theory and psychology associated with student learning. Topics include educational theory, educational psychology, and theories of learning. Students assume responsibility for full-time teaching of two or more classes at their designated school. Class sessions focus on debriefing and problem-solving. Second of a three-course sequence necessary to complete the Teacher Education Program.Staff",Undergraduate,IAP,,CMS.591 ,3-0-9,,,,,,,
