Course Number,Course Title,Description,Subject meets with,Prerequisites,Class Type (U/G),Semester,Credit Structure,Credit Info,Instructor,Same subject as,Years offered
11.382J,Transit Management, See description under subject 1.259J. 11.385J Strategic Analysis for,,1.258J or permission of instructor,G,Fall,3-0-6,H-LEVEL Grad Credit,"N. H. M. Wilson, F. Salvucci",1 .259J,
11.385J,"Strategic Analysis for Environmental Policy Planning, Design, and Implementation"," 22.822J, TPP.121J) 16.861 or TPP.21 or 11.200 or 11.205 See description under subject 1.141J. Housing, Community, and Economic Development 11.40 Introduction to Housing and",,1.146 or 2.192 or 3.56 or 13.62 or,G,Spring,3-0-6,H-LEVEL Grad Credit,R. D. Tabors,"1.141J, 3.563J, 6.688J,",
11.40,Introduction to Housing and Community Development," Explores how public policy and private markets affect housing, economic development, and the local economy; provides an overview of techniques and specified programs policies and strategies that are (and have been) directed at neighborhood development; gives students an opportunity to reflect on their personal sense of the housing and community development process; emphasizes the institutional context within which public and private actions are undertaken. 11.41 Discourse on Social Policy",,,G,Fall,3-0-9,,L. C. Keyes,,
11.41,Discourse on Social Policy (11.510)," Explores an alternative to the dominant ""rational actor"" model of policy analysis and emphasizes the shaping of the policy-making process through the framing and reframing of policy discourse. Attempts to place the dominant model and the alternative in the context of a larger debate on positivism in the social sciences and a varied body of interdisciplinary work on ""discourse analysis."" 11.410J The Economics of Cities and",,,,,2-0-7,,M. Rein,,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
11.410J,The Economics of Cities and Regions, See description under subject 14.573J. 11.420J Housing and Urban Policy,,14.03 or 14.04,G,Fall,3-0-9,H-LEVEL Grad Credit,W. Wheaton,"14.573J, 1.283J",
11.420J,Housing and Urban Policy," Analysis of housing markets, consumption, investment, and policy. Techniques of neighborhood planning, including such issues as analysis of problem definition, program design, organizational issues, and strategic planning at the neighborhood level. Case studies of housing and neighborhood projects. 11.421 Housing and Human Services",,11.200 or 4.144,G,Spring,3-0-6,H-LEVEL Grad Credit,P. Clay,4.256J,
11.421,Housing and Human Services," Focuses on how the housing and human service systems interact: how networks and social capital can build between elements of the two systems. Explores ways in which the differing world views, professional perspectives, and institutional needs of the two systems play out operationally. Part I establishes the nature of the action frames of these two systems. Part I applies these insights to particular vulnerable groups: ""at risk"" households in transitional housing, the chronically mentally ill, and the frail elderly. 11.425 Urban Labor Markets",,11.40,G,Spring,2-0-7,H-LEVEL Grad Credit,"L. C. Keyes, M. Rein",,
11.425,Urban Labor Markets," Focuses on the recent evolution of central city labor markets. Topics include the changing occupational structure of central cities; the occupation/population skills mismatch; education, wages, and urban schooling; the spatial mismatch and mobility strategies; the position of minority groups in central city labor markets; the interaction between welfare programs and labor markets; the potential role of job training. 11.426 Massachusetts Economy and",,11.210,G,Spring,3-0-9,,"A. Cintron, F. Levy",,
11.426,Massachusetts Economy and Economic Development," Every state has a relatively unique set of characteristics that shape its development options. In the mid-1990s, Massachusetts is characterized by high wage levels and housing prices, a low rate of population growth, concentrations of high-tech firms, and a steady out-migration of manufacturing jobs. Using theoretical and empirical studies, subject examines whether this base can be developed into an employment structure that benefits most residents not just the very well-educated. 400 Chapter VillI Department of Urban Studies and Planning Course 11 11.427J Public Policy and Human",,11.210 or equivalent,G,Fall,3-0-9,,F. Levy,,
11.427J,Public Policy and Human Resources, See description under subject 15.677J. 11.430J Managing the Real Estate,,Permission of instructor,G,Spring,3-0-6,H-LEVEL Grad Credit,P. Osterman,15.677J,
11.430J,Managing the Real Estate Company (New)," Focuses on management abilities to design innovative strategies and organizations, to motivate, to negotiate, and to create and sustain learning environments which are crucial for success. Case studies from real estate and other industries illustrate management, negotiation, and organization theory and concepts. Topics include: globalization and strategic alliances, strategic planning, industry and organization restructuring, organization design and learning, managing organization change, quality and asset management, international management, international computer networks and implementation of information technology, and ethics. Students are required to participate in field research projects. 11.431J Real Estate Finance and",,11.431J or 15.412 or 15.415,G,Spring,4-0-8,H-LEVEL Grad Credit,G. Schuck,15.941J,
11.431J,Real Estate Finance and Investment," Concepts and techniques for analyzing financial decisions in property development and investment. Topics: leasing and property income streams, pro forma analysis, equity valuation, tax analysis, options, risk, and the financial structuring of real property ownership. 11.432J Real Estate Capital Markets",,11.447,G,Fall,4-0-8,H-LEVEL Grad Credit,T. Riddiough,15.426J,
11.432J,Real Estate Capital Markets, The evolving organization and operation of real estate capital markets. Sources of real estate capital. Primary and secondary mortgage markets. The investment behavior of real estate assets. The development of REITs and securitized debt markets. Advanced pricing techniques for complex real estate securities. 11.433J Real Estate Economics,,Permission of instructor,G,Spring,4-0-8,H-LEVEL Grad Credit,T. Riddiough,15.427J,
11.433J,Real Estate Economics," Focuses on developing an understanding of the factors that srape and influence markets for real property. Includes demographic analysis, patterns of regional growth, construction cycles, urban location theory, and modeling techniques for predicting demand. 11.437 Financing Community Economic",,14.01 or 15.010 or 15.011,G,Spring,4-0-8,H-LEVEL Grad Credit,W. C. Wheaton,15.021J,
11.437,Financing Community Economic Development Prereq.. -," Focuses on financing tools and program models to support local economic development. Includes an overview of (1) private capital markets and financing sources to understand capital market imperfections that constrain economic development, (2) business accounting, (3) financial statement analysis, and (4) federal economic development programs. Program models covered include revolving loan funds, guarantee programs, venture capital funds, bank holding companies, community development loan funds and credit union, micro enterprise fundings, and the use of the Community Reinvestment Act to leverage bank financing. 11.438 Economic Development Planning",,,G,Fall,3-0-9,,K. Seidman,,
11.438,Economic Development Planning and Policy," Focuses on the policy tools and planning techniques used to formulate and implement local economic development strategies. Includes an overview of economic development theory, discussion of major policy areas and practices employed to influence local economic development, and detailed review of tools and techniques, to assess local economics and formulate strategy. Coursework includes formulation of an economic development strategy for a locality by the class. 11.441 Issues in Community Development",,"11.210, 11.220",G,Spring,3-0-9,,K. F. Seidman,,
11.441,Issues in Community Development," Centers on current issues in community development: values, ideology, tactics, models, and alternative strategies. Seminar format is organized around students' planning projects, and focuses primarily on problem framing from an interdisciplinary perspective. Designed for the Community Fellows Program; students working on thesis or communitybased projects admitted by permission. Consult Department Headquarters. 11.442 Strategies In Community Development Continuation of 11.441. Focuses on alternative intervention strategies in community-based development. Seminar format is organized around students' planning projects, and centers on a review of relevant practice in the field, on formulation of both a detailed intervention strategy, project finding, and effectiveness evaluation plans. Designed for the Community Fellows Program; students working on thesis or community-based projects admitted by permission. Consult Department Headquarters. 11.447 Housing Finance (Revised Units) Considers the debt financing process for residential and multi-family lending. Both the economic and legal aspects of standard and alternative mortgage instruments are considered, then combined to develop an understanding of income property finance. Mortgage securitization and the secondary mortgage market also examined. 11.449 Perspectives on Labor Markets",,,G,Spring,3-0-3,,T. Riddiough,,
11.449,Perspectives on Labor Markets," Divided into three sections: (1) review of major transformations of labor markets of industrial societies; (2) exploration of main theoretical perspectives for understanding these transformations (neo-classical, Marxist, and institutional); (3) critical review of the capacity of these perspectives to yield an adequate interpretation of changes in the labor market. 11.450 American Living Standards and",,,G,Spring,2-0-7,,M. Rein,,
11.450,American Living Standards and Income Inequality," Meets with undergraduate subject 11.022J, but assignments differ. See description under subject 11.022J. Descriptions of Subjects 401 School of Architecture and Planning International Development and Regional Planning 11.462 Housing Problems and Policies in","11.022J, 14.65J",14.01 or equivalent,G,Spring,3-0-9,,F. S. Levy,,
11.462,Housing Problems and Policies in Developing Countries," Focuses on the particular attributes, innovations, and methods of analysis of urban land and housing in developing and transition countries. Includes an overview of theory on supply and demand, tenure, standards, and community participation, detailed review of tools used in the field, and an examination of case studies revealing innovations in the field. Particular emphasis given to affordability and accessibility by the poor. Class format combines lectures, class projects, and presentation. 0. Razzaz Projects in Developing Countries See description under subject 4.236J. 11.464 The Informal Sector and the",,Permission of instructor,G,Spring,3-0-9,H-LEVEL Grad Credit,R. Goethert,4.236J,
11.464,The Informal Sector and the Household Economy," Examines interrelationships among low-income households, small-scale, incomegenerating activities, and the urban economy in developing countries. Theories of employment and an analysis of ""bazaar economies looked at. Reviews policy options for enhancing the informal sector's contribution to development. The role of women and the possibilities of nonmonetary activities explored. 11.465J Special Interest Group in Urban",,11.205,,,3-0-9,H-LEVEL Grad Credit,B. Sanyal,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
11.465J,Special Interest Group in Urban Settlements: SIGUS Workshops, Can be repeated for credit See description under subject 4.23J. 11.466 Common Property Resources,,Permission of instructor,G,"IAP,",Units arranged,[P/D/F] H-LEVEL Grad Credit,"R. Goethert, R. A. Gakenheimer, B. Sanyal","4.23,J",
11.466,Common Property Resources," Introduces students to conceptual and practical aspects of managing common resources. Examines the management issues raised by distinctive characteristics of various resources (fisheries, wildlife, water resources, forests, and land), explores the various institutional structures and property rights assignments to such resources, and develops the ability to assess and improve the management of such resources. 0. Razzaz 11.467J Property Rights Under Transition Seminar on different economic, political, and social perspectives of property rights and their policy and planning implications. Each year the theory and applications from two or more key areas, such as land, natural resources, infrastructure, or industrial organization, are covered. 11.469J Infrastructure in Developing",,11.210 or permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,K. R. Polenske,"4.257J, 17.550J",
11.469J,Infrastructure in Developing Countries," Planning for transport, water supply, sewerage, etc. Summarizes the technologies but emphasizes the planning process and decision points within that are important to planned objectives. Deals with patterns of consumption, strategies of problems analysis, technology choices, equity questions, pricing, finance, building viable public-sector institutions, privatization, relationships between technocrats and politicians, roles of interest groups. Meets with undergraduate subject 11.104, but assignments differ. 11.471 Political Economy of Development","1.254J, 11.104",,G,Fall,3-0-9,H-LEVEL Grad Credit,R. A. Gakenheimer,,
11.471,Political Economy of Development Projects: Targeting the Poor," Covers public-sector policies, programs, and projects that target the poor in developing countries and involve small enterprises, small farmers, cooperatives, nongovernment organizations, employment-beating programs, and social investment funds. Links these programs to the literature on poverty, economic development, and the reform of government. Discusses types of projects, tasks, and environments that are conducive to equitable outcome. 11.480 Theory and Practice of Privatization",,11.210 or equivalent,G,Spring,3-0-9,H-LEVEL Grad Credit,J. Tendler,,
11.480,Theory and Practice of Privatization in Emerging Economics (New)," Explores the theoretical and practical aspects of privatization in emerging economies (i.e. developing countries and postcommunist nations). Analyzes why privatization became an important policy issue starting in the 1980s; how such programs were designed and implemented in various countries and industries, including infrastructure, manufacturing, and financial services; and the short-term and longterm consequences for productivity growth, fiscal management, structure of business enterprise, business-government relations, and regulation. Also analyzes the opportunities and risks for private investors, including multinational corporations, of participating in privatization transactions. 11.481 J Regional Economic Theories,",,11.205 or equivalent,G,Spring,3-0-9,H-LEVEL Grad Credit,A. Amsden,,
11.481,"J Regional Economic Theories, Accounts, and Techniques"," Surveys the basic theories, accounting frameworks, and techniques used in regional and multiregional economic analyses. Emphasizes the aspects of each relevant to their use in program impact and distribution studies. Uses problem sets (some microcomputerbased) to illustrate the different concepts. 11.482J Regional Socioeconomic Impact",,"14.03, 14.04",G,Spring,3-0-9,H-LEVEL Grad Credit,K. R. Polenske,1.284J,
11.482J,Regional Socioeconomic Impact Analyses and Modeling, Reviews regional economic theories and models and provides students with experience in using alternative economic impact assessment models on microcomputers. First two problem sets are oriented around infrastructure investments and environmental issues in Massachusetts. Students may select their own set of data and region for the third problem set. 11.484 Project Evaluation and Planning in,,11.481J or permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,K. R. Polenske,1.285J,
11.484,Project Evaluation and Planning in Developing Countries," Examines techniques and procedures relevant for project planning and implementation in developing countries, including project identification, feasibility analysis, design and implementation monitoring. Considers how to evaluate economic and distributive effects of completed or ongoing development projects. Specific attention given to how institutional setting and other practical influences affect the use of conventional analytical tools. 402 Chapter Vill Department of Urban Studies and Planning Course 11 11.486J Economic Institutions and Growth",,11.205,G,Spring,3-0-9,,P. Smoke,,
11.486J,Economic Institutions and Growth Policy Analysis," Considers how institutions have been incorporated theoretically into explorations of growth and development. Four sets of institutions are examined in detail: the corporate sector, to study how ownership, strategy, and structure affect growth-related policies; financial institutions, to analyze how they condition savings and investment; labor market institutions, to investigate their impact on the determination of wage and production-related productivity; and the institutions associated with technology, such as universities, research laboratories, and corporate training centers, to consider how skill formulation is accomplished. 11.487 Public Finance in Developing",,11.210,G,Spring,3-0-6,H-LEVEL Grad Credit,A. Amsden,"14.778J, 17.184J",
11.487,Public Finance in Developing Countries," structor Analysis of the structure and operation of government systems in developing countries, with particular emphasis on regional and local governments. Major topics include: the role of decentralization in national economic reform programs; the potential impact of decentralized governments on local economic development; determination of optimal arrangements for sharing fiscal responsibilities among levels of government; evaluation of local revenue and expenditure decisions; and assessment of prospects and options for intergovernmental fiscal reform. Emphasis on basic economic concerns, with consideration given to political, institutional, and cultural factors. 11.491J Industrial Development and Policy",,11.205 and 11.254 or permission of in-,G,Spring,3-0-9,H-LEVEL Grad Credit,P. Smoke,,
11.491J,Industrial Development and Policy Analysis, Analyzes the theoretical and historical reasons why governments in latecomer countries have intervened with a wide array of policies to foster industrial development at various turning points: the initiation of industrial activity; the diversification of the industrial base; the restructuring of major industrial institutions; and the entry into high-technology sectors. Planning Support Systems 11.520 A Workshop on Geographic,,11.205,G,Fall,3-0-9,H-LEVEL Grad Credit,A. Amsden,17.176J,
11.520,A Workshop on Geographic Information Systems," Examines the potential use of Geographic Information Systems in land-use planning, transportation planning, and town government. Subject format is a studio setting with a local town government as a client. Begins with theory and use of GIS technology. Students select one of two middle segments focusing on a) a user-needs assessment and the development of skills in interview techniques, case studies, and unobtrusive measures; or b) the design of appropriate land use and transportation models. The third segment integrates the work of both groups in developing the prototype GIS.",,"1.201 or 11.220, 1.00 or 11.227",G,Spring,11.521,Computer-Based Analysis for Public,"J. Ferreira, Jr., Q. Shen",,
11.521,Computer-Based Analysis for Public Management," Extends the computer and analytic skills developed in 11.227 to more advanced topics and problems. Includes advanced database management concepts and applications of SQL (Structured Query Language). Computerimplemented models for improved public management are studied, including decision support and geographic information systems. 11.522 Research Seminar on Planning",,11.227,G,Fall,3-2-7,H-LEVEL Grad Credit,"J. Ferreira, Jr., M. Shiffer",,
11.522,Research Seminar on Planning Support Systems," Can be repeated for credit Advanced seminar extends computer and analytic skills developed in the other subjects in this sequence into a research environment. Students present a structured discussion of a journal article representative of current research in Planning Decision Support Systems, and complete an approved short research project. Suggested research projects include topics related to ongoing research projects of the Computer Resource Laboratory. 11.525 New and Developing Technologies",,"11.227, 11.520, or 11.521",G,Fall,3-2-7,H-LEVEL Grad Credit,"J. Ferreira, Jr., O. Shen, M. Shiffer",,
11.525,New and Developing Technologies for Planners," structor Students are familiarized with the changing technologies available for manipulating, organizing, and presenting visually-oriented electronic information for the description of urban environmental phenomena. Students are exposed to cases where these technologies have been used, or are in use, by planning-related agencies. Impacts of these technologies upon public debate and decision making are studied. Specific attention is paid to multimedia and communication technologies and how these have the ability to change the way people plan. 11.526J Logistical and Transportation",,11.227 and 11.228 or permission of in-,G,Spring,2-2-5,H-LEVEL Grad Credit,M. Shifter,,
11.526J,Logistical and Transportation Planning Methods," 15.073J, 16.76J) See description under subject 1.203J. Tutorials, Research, and Field Work Subjects 11.800 Doctoral Research Paper",,"6.431, 15.075",G,Fall,3-0-9,H-LEVEL Grad Credit,"A. /. Barnett, R. C. Larson, A. R. Odoni","1.203J, 6.281J, 13.665J,",
11.800,Doctoral Research Paper, Can be repeated for credit Required subject for all entering Ph.D. students. Main focus is on formulating researchable questions. Designed to help students write their first-year papers. 11.900 Doctoral Proseminars,,Permission of instructor,G,"Fall,",3-0-9,H-LEVEL Grad Credit,"M. Schuster, M. Rein",,
11.900,Doctoral Proseminars, Can be repeated for credit Designed primarily for advanced doctoral candidates. A selection of Proseminars is offered each year for groups of students affiliated with the various research clusters in the Department. Descriptions of Subjects 403 School of Architecture and Planning 11.901 Research Seminar: Topics in Urban,,Permission of instructor,G,"Fall,",Units arranged,H-LEVEL Grad Credit,B. Sanyal,,
11.901,Research Seminar: Topics in Urban Studies and Planning," Can be repeated for credit 11.902 Research Seminar: Topics in Urban Studies and Planning Can be repeated for credit Special research issues in urban planning, selected each term for special study. Open to graduate students with permission of instructor. 11.911, 11.912 Supervised Readings in Urban Studies Can be repeated for credit Reading and discussion of special topics in urban studies and planning. 11.921,11.922 Special Seminars in Real Estate Development Can be repeated for credit Opportunity for group study by graduate students on current topics related to real estate not otherwise included in the curriculum. 11.932 Preparation for Thesis",,,G,"Fall,",Units arranged,H-LEVEL Grad Credit,Consult W. Wheaton.,,
11.932,Preparation for Thesis," Can be repeated for credit Selection of thesis subject, definition of method of approach, and preparation of preliminary thesis outline. Independent study, supplemented by frequent individual conference with staff members. Restricted to doctoral candidates.",,,G,"Fall,",11.941-11.955,Special Studies in Urban,B. Sanyal,,
11.941-11.955,Special Studies in Urban Studies and Planning, Can be repeated for credit Small-group study of advanced subjects under staff supervision. For graduate students wishing to pursue further study in advanced areas of urban studies and city and regional planning not covered in regular subjects of instruction. 11.941 is taught P/D/F.,,,G,"Fall,",11.956-11.957,IAP Special Studies in Urban,B. Sanyal,,
11.956-11.957,IAP Special Studies in Urban Studies and Planning, Can be repeated for credit Planned subjects of instruction for use during IAP only.,,Permission of instructor,G,IAP,11.958-11.959,IAP Special Studies in Urban,B. Sanyal,,
11.958-11.959,IAP Special Studies in Urban Studies and Planning," Can be repeated for credit Planned subjects of instruction for use during IAP only. 11.960,11.961 IAP Special Studies in Real Estate Can be repeated for credit Planned subjects of instruction for use during IAP only. 11.962 Urban Fieldwork and Internships",,,G,IAP,Units arranged,[P/D/F],W. Wheaton,,
11.962,Urban Fieldwork and Internships," Can be repeated for credit Practical application of planning techniques to towns, cities, and regions, including problems of replanning, redevelopment, and renewal of existing communities. Includes internships, under staff supervision, in municipal and state agencies and departments. 11.981 Graduate Tutorial",,Permission of instructor,G,"Fall,",Units arranged,[P/D/F] H-LEVEL Grad Credit,"L. E. Susskind, J. Tendler",,
11.981,Graduate Tutorial, Can be repeated for credit 11.982 Graduate Tutorial Can be repeated for credit Planned programs of individual instruction. Students and faculty members must make arrangements prior to the beginning of the term. 11.ThG Graduate Thesis,,,G,Spring,Units arranged,,B. Sanyal,,
11.ThG,Graduate Thesis," Can be repeated for credit Program of graduate research and writing of thesis; to be arranged by the student with supervising committee. Staff 404 Chapter VilI Department of Earth, Atmospheric, and Planetary Sciences Course 12 Course 12 Earth, Atmospheric, and Planetary Sciences For degree requirements, see listing in Chapter VII under the School of Science. Undergraduate Subjects 12.UR Undergraduate Research Can be repeated for credit 12.URG Undergraduate Research Can be repeated for credit Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences. Consult Department Headquarters. 12.IND Independent Study Can be repeated for credit Independent reading, laboratory, or fieldwork in Earth, Atmospheric, and Planetary Sciences. Requires written report. To be arranged by student and an appropriate MIT faculty member. Consult Department Headquarters. 12.ThU Undergraduate Thesis Can be repeated for credit Program of undergraduate research, leading to the writing of a thesis; to be arranged by the student and an appropriate MIT faculty member. Consult Department Headquarters. Core and General Science Subjects 12.001 Introduction to Geology Major rock-forming minerals, rock-forming processes, and rock types. Geologic structures and relationships observable in the field. Geologic time scale, dating of rocks by fossil and isotopic methods. Sediment movement and landform development by moving water, wind, and ice. Crustal processes and evolution in terms of global plate tectonics. Geologic history of the continents, with emphasis on North America. Laboratories on minerals, rocks, fossils, and mapping. Two nonrequired one-day field trips. 12.002 Physics and Chemistry of the Solid",,,U,Spring,3-4-5,REST,J. B. Southard,,
12.002,Physics and Chemistry of the Solid Earth," Study of the Earth's structure, composition, and physical processes. Introduction to plate tectonics, earthquakes, seismic waves, and rheology. The Earth's gravity and magnetic fields, heat flux, and thermal structure. Plates as thermal and chemical boundary layers. Mantle convection, properties of the Earth's deep interior, geomagnetism, core dynamics. Employs classical mechanics, electromagnetism, some elementary differential equations. Suitable for majors and non-majors seeking general background in geophysics and Earth structure. Descriptions of Subjects 405 12.003 Physics of the Fluid Earth",,"8.02, 18.02",U,Fall,3-1-8,REST,C. J. Marone,,
12.003,Physics of the Fluid Earth," The laws of classical mechanics and thermodynamics are used to explore how the properties of fluids on a rotating planet, such as the Earth, manifest themselves in, and help shape, the global patterns of atmospheric winds, ocean currents, and the climate of the Earth. Underlying mechanisms are illustrated using a rotating table and through the study of numerous phenomena drawn from the atmosphere and ocean, such as hurricanes, thunderstorms, and ocean circulation. A laboratory acquaints students with meteorological and oceanographic data. 12.004 Introduction to Planetary Science",,"18.02, 8.01, 5.60",U,Fall,3-1-8,REST,R. A. Plumb,,
12.004,Introduction to Planetary Science," Study of the solar system with emphasis on physical processes. Topics include: meteorites, orbital dynamics, asteroids, impact craters, surfaces, atmospheres, atmospheric dynamics, interiors, magnetospheres, rings, comets, formation of the solar system. 12.005 Applications of Continuum",,"8.02, 18.03",U,Spring,3-0-9,,"T. Dowling, M. Zuber",,
12.005,"Applications of Continuum Mechanics to Earth, Atmospheric, and Planetary Sciences"," Practical applications of the continuum concept for deformation of solids and fluids, emphasizing force balance. Stress tensor, infinitesimal and finite strain, and rotation tensors developed. Constitutive relations applicable to geological materials, including elastic, viscous, brittle, and plastic deformation. Solutions to classical problems in geodynamics, physical oceanography, and atmospheric sciences. School of Science 12.006 Chaos and Complexity",,"8 02, 18 02, 18.03",U,Spring,3-0-9,,B. H. Hager,,
12.006,Chaos and Complexity," Introduction to the theory and phenomenology of nonlinear dynamics and chaos in dissipative systems. Forced and parametric oscillators. Phase space. Periodic, quasiperiodic, and aperiodic flows. Sensitivity to initial conditions and strange attractors. Lorenz attractor. Period doubling, intermittency, and quasiperiodicity. Universality. Analysis of experimental data: Fourier transforms, Poincar6 sections, fractal dimension, and Lyapunov exponents. Applications drawn from fluid dynamics, physics. geophysics, and chemistry. 12.090 Special Topics in Earth,",,"18.03, 8.02",U,Fall,3-0-9,,D. H. Rothman,,
12.090,"Special Topics in Earth, Atmospheric, and Planetary Sciences"," Can be repeated for credit 12.091 Special Topics in Earth, Atmospheric, and Planetary Sciences Can be repeated for credit Laboratory or field work in earth, atmospheric, and planetary sciences. To be arranged with department faculty. Consult with department Education Office. EAPS Faculty 12.092 Special Topics in Geology and Geochemistry Can be repeated for credit 12.093 Special Topics in Geology and Geochemistry Can be repeated for credit Laboratory or field work in geology and geochemistry. To be arranged with department faculty. Consult with department Education Office. EAPS Faculty 12.094 Special Topics in Geophysics Can be repeated for credit 12.095 Special Topics in Geophysics Can be repeated for credit Laboratory or field work in geophysics. To be arranged with department faculty. Consult with department Education Office. EAPS Faculty 12.096 Special Topics in Atmospheric Science and Oceanography Can be repeated for credit 12.097 Special Topics in Atmospheric Science and Oceanography Can be repeated for credit Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office. EAPS Faculty 12.098 Special Topics in Planetary Science Can be repeated for credit 12.099 Special Topics in Planetary Science Can be repeated for credit Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office. EAPS Faculty Geology and Geochemistry 12.102 Environmental Earth Science The geologic record demonstrates that our environment has changed over a variety of time scales from seconds to billions of years. Subject explores the many ways in which geologic processes control and modify the Earth's environment. Topics include: chemical and physical interactions between the solid Earth, its oceans and atmosphere; the effect of catastrophic events such as volcanic eruptions and earthquakes on the environment; geologic hazards; and our role in modifying the environment through earth resource development. This subject serves as an introduction to subject 12.120, which addresses field applications of these principles in the American Southwest. 12.104 Geochemistry of the Earth and",,,U,Fall,3-0-9,REST,"S. A. Bowring, J. B. Southard",,
12.104,Geochemistry of the Earth and Planets," Focuses on the processes that create chemical variability in the solid and fluid earth. the moon, and meteorites. Includes nucleosynthesis, cosmochemistry, and basic geochemical concepts. Thermodynamics and phase equilibria are introduced and applied to problems of melting solid planetary interiors and the evolution of the earth's hydrosphere. Radiogenic and stable isotopic systems are used to document the timing of planetary formation and differentiation, formation, and evolution of volcanoes and continental crust, and to understand interactions between the solid and fluid earth. 12.108 Structure of Earth Materials",,18.02,,,3-1-8,,"J. Edmond, F. A. Frey, T. L. Grove",,Acad Year 1996-97: U Spring Acad Year 1997-98: Not offered
12.108,Structure of Earth Materials," Provides a comprehensive introduction to crystalline structure, crystal chemistry, and bonding in rock-forming minerals. Introduces the theory relating crystal structure and crystal symmetry to physical properties such as refractive index, elastic modulus, and seismic velocity. Surveys the distribution of silicate, oxide, and metallic minerals in the interiors and on the surfaces of planets and discusses the processes that led to their formation. 12.109 Petrology",,,,,3-4-5,,"B. Evans, T. L. Grove",,Acad Year 1996-97: U Fall Acad Year 1997-98: Not offered
12.109,Petrology," Surveys the distribution, chemical composition, and mineral associations in rocks of the earth's crust and upper mantle, and establishes their relation to tectonic environment. Emphasis is on the use of chemistry and physics to interpret rock forming processes. Topics include: dynamics of crust and mantle melting as preserved in the chemical composition of igneous rocks and minerals, the long-term record of global climate change as preserved in the minerals of sedimentary rocks, and the time-temperature-depth record preserved in minerals of metamorphosed crustal rocks. 406 Chapter Vill Department of Earth, Atmospheric, and Planetary Sciences Course 12 12.110 Sedimentary Geology",,"12.104, 12.108",,,3-6-3,,"J. P. Grotzinger, T. L. Grove, K. V. Hodges",,Acad Year 1996-97: Not offered Acad Year 1997-98: U Fall
12.110,Sedimentary Geology (Revised Content)," Sediments in the rock cycle. Production of sediments at the Earth's surface. Physics and chemistry of sedimentary materials. Scale and geometry of near-surface sedimentary bodies, including aquifers. Sediment transport and deposition in modern sedimentary environments. Burial and lithification. Survey of major sedimentary rock types. Stratigraphic relationships of sedimentary basins. Evolution of sedimentary processes through geologic time. Two or three weekend days of field trips. 12.113 Structural Geology",,12.001,,,3-3-6,,"J. B. Southard, J. P. Grotzinger",,Acad Year 1996-97: U Spring Acad Year 1997-98: Not offered
12.113,Structural Geology," Introduces mechanics of rock deformation. Discusses recognition, interpretation, and mechanics of faults, folds, structural features of igneous and metamorphic rocks, and superposed deformations. Introduces regional structural geology and tectonics. Laboratory includes techniques of structural analysis, recognition and interpretation of structures on geologic maps, and construction of interpretive cross sections. 12.114 Field Geology I",,"12.001, 12.005",,,3-3-6,,B. C. Burchfiel,,Acad Year 1996-97: Not offered Acad Year 1997-98: U Fall
12.114,Field Geology I," structor Introduces techniques of geological field study. Several weekend field exercises provide practical experience in preparation for 12.115. Presents, in addition, introductory material on the regional geology of the locale of 12.115. 12.115 Field Geology 11",,"12.108, 12.113, or permission of in-",,,2-2-2,,L. H. Royden,,Acad Year 1996-97: Not offered Acad Year 1997-98: U Fall
12.115,Field Geology 11," During January, practices methods of modern geological field study during an intensive fourweek excursion. Exercises include geological mapping on topographic and photographic base maps, correlating geochemical and geophysical field measurements with geology, examining and sampling a wide variety of geological features. Following term includes 1) preparation of reports based on field studies conducted during January, and 2) laboratory analysis of samples, interpretation of geological, geophysical, and geochemical data. 12 units may be applied to the General Institute Laboratory Requirement. 12.119 Analytical Techniques for Studying",,"12.113, 12.114",,,0-18-0,Institute LAB,L. H. Royden,,"Acad Year 1996-97: Not offered Acad Year 1997-98: U IAP, Spring"
12.119,Analytical Techniques for Studying Environmental and Geologic Samples," Focuses on analytical facilities that are used to determine elemental and isotopic abundances in soils, rocks, minerals, and fluids. Emphasis is on isotopic ratios Sr, Nd, and Pb, whose isotopic ratios can be used for age dating, and abundances of trace elements such as Rb, Sr, cal techniques include mass spectrometry, emission spectrometry, atomic absorption, neutron activation, and electron microprobe. A major lab project utilizes these techniques to address specific environmental and geologic problems. Each student generates a report that may be used to satisfy Phase II of the Writing Requirement. 12.120 Environmental Earth Science Field",,,U,Spring,2-6-4,Institute LAB,"S. Bowring, E. Boyle, F. Frey, T. Grove",,
12.120,Environmental Earth Science Field Course," Introduction to the methods of geologic mapping; practical experience in aspects of environmental geology such as selecting sites for hazardous waste disposal, hazard assessment in seismically and volcanically active areas, and in understanding the three-dimensional character of dissected alluvial deposits. 12.130 Structure of Geologic Aquifers",,12.001 or 12.102,U,IAP,1-5-0,,"S. Bowring,",,
