Number,Title,Description,URL
CAS EN 130,Science/Fiction,"Undergraduate Prerequisites: None - Through readings in British and/or American literature, an exploration of some of the following topics: science and technology as literary themes; historical construction of science and art; similarities and differences between literary and scientific methods; the development of science fiction. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Ethical Reasoning, Writing-Intensive Course. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Ethical Reasoning.",/academics/cas/courses/cas-en-130/
CAS EN 132,Write Back Soon: Blackness and the Prison,"This course interrogates the theme of black containment from slavery and Jim Crow to, principally, mass incarceration. The topic is explored in tandem with the development of open letter writing skills. This epistolary form allows both for the intimate engagement of individual, familiar contact and the deft inclusion of targeted eavesdroppers in order to raise the consciousness of listeners and affirm the value of personal relationships. Course texts include letters to and from prison, poetry, short stories, memoir, social science, documentaries, and critical theory. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-en-132/
CAS EN 141,Introduction to Fiction,"Introduces critical concepts for analyzing works of fiction. Readings in different periods, genres, and traditions, ranging from canonical masterpieces to unheralded literary gems, aimed to cultivate an appetite for the pleasures, and rigors, of narrative art. Topics vary by instructor. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Ethical Reasoning.",/academics/cas/courses/cas-en-141/
CAS EN 142,Introduction to Poetry,"Introduction to the understanding, interpretation, and appreciation of a wide range of poetry. Focus on poetic form, genre, and style, with explorations of cultural and aesthetic contexts. Particular emphasis on close, careful reading and discussion. Topics vary by instructor. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Oral and/or Signed Communication.",/academics/cas/courses/cas-en-142/
CAS EN 145,Introduction to Performance,"Investigates the many forms performance might take, from live art in a visual art context, experimental theatre, poetry readings, video, or audio work in 20th and 21st century creative practice. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Philosophical Inquiry and Life's Meanings (PLM), Creativity/Innovation.",/academics/cas/courses/cas-en-145/
CAS EN 150,"Children's Literature: Fairy Tales, Fantasy, and Imaginary Spaces","What stories do we tell about children? What guidance do we imagine them needing? Examines fairy tales; the Golden Age of Children's Literature (1860- -1920); fantasy; genre and adaptation. Authors include Grimms, Bronte, Lewis Carroll, Tolkien, Le Guin, Pullman, Sendak. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-en-150/
CAS EN 155,"The Myth of the Family in Classical American Literature, Film, and Television","Blood bonds, criminality, violence, and language as they emerge across American cultural forms. Works include novels by Twain, Faulkner, Morrison, and Junot Diaz; films such as The Godfather and Boys Don't Cry; serial television such as Breaking Bad and The Wire. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Social Inquiry I.",/academics/cas/courses/cas-en-155/
CAS EN 160,"Big Novels, Big Ideas","How do big famous novels explore philosophical ideas about knowledge, selfhood, nature, community? Are fiction and philosophy partners or rivals? Novels may include Moby Dick, Middlemarch, Invisible Man, Infinite Jest, read alongside Plato, Descartes, Nietzsche, Du Bois, Sartre, and others. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-en-160/
CAS EN 162,The Ethics of Art,"Does art make you good? How does it shape our values and sense of justice? Ancient thinkers (Plato, Horace) and modern theorists (Wollstonecraft, Wilde), followed by contemporary case studies. Topics may include propaganda, body aesthetics, animals, disability, pornography, graffiti, censorship. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Ethical Reasoning.",/academics/cas/courses/cas-en-162/
CAS EN 163,Reading Shakespeare,"A critical introduction to Shakespeare through intensive analyses of six or seven plays. Possible attention to such topics as literary sources, early modern stagecraft, performance history, and contemporary film adaptation. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-en-163/
CAS EN 170,The Graphic Novel,"Examination of the rise, nature, and status of the contemporary book-length graphic novel. Topics include graphic vs. traditional novel, word and image, style and space, representations of subjectivity, trauma, and history. Authors may include Spiegelman, Bechdel, Nakazawa, Sacco, Satrapi, Backderf. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Digital/Multimedia Expression, Creativity/Innovation.",/academics/cas/courses/cas-en-170/
CAS EN 175,Literature and the Art of Film,"Provides an overview of fundamental concepts for the analysis and understanding of film. Films are screened weekly and in conjunction with works of literature. Students must register for screening, discussion, and lecture. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Digital/Multimedia Expression.",/academics/cas/courses/cas-en-175/
CAS EN 176,Introduction to Film & Media Aesthetics,"Introduction to fundamental concepts for the analysis/understanding of film and media. Key concepts of formal composition (e.g. editing, mise-en-sc?ne, cinematography, sound and more) over a diverse set of media texts. Foundational skills in analysis appropriate to film, television and moving-image media. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Aesthetic Exploration. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Aesthetic Exploration, Critical Thinking.",/academics/cas/courses/cas-en-176/
CAS EN 177,Introduction to Asian-American Literature,"Undergraduate Prerequisites: None - Explores Asian American literature from the early twentieth century until today. Addresses questions of identity, immigration, national belonging, diaspora, war, and global capitalism. Authors include John Okada, Maxine Hong Kingston, Chang-Rae Lee, Jhumpa Lahiri, Monique Truong, and Ha Jin. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Writing-intensive Course. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, The Individual in Community, Teamwork/Collaboration.",/academics/cas/courses/cas-en-177/
CAS EN 178,Introduction to Latinx Literature,"Survey of U.S. Latinx literature that introduces students to the major trends in the tradition. Course emphasizes the historical and aesthetic networks established in the Latinx literary canon that continue into the present, while also exploring the relationship between genre and socio-historical issues. We begin with readings from contemporary scholars who attempt to define what Latinx is and can be, establishing a foundation for thinking about the shifting definitions of ""Latinx"" in the U.S. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Teamwork/Collaboration.",/academics/cas/courses/cas-en-178/
CAS EN 180,Post-Apocalyptic Narratives,"Why is contemporary culture drawn to stories of zombies, social collapse, and environmental disaster? What fascinates us about dystopia? Stories, novels, graphic novels, film, and television all examined to explore questions of narrative, interpretation, genre, politics, ""high"" vs. ""popular"" culture. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Ethical Reasoning.",/academics/cas/courses/cas-en-180/
CAS EN 195,Literature and Ideas,"How does literature relate to philosophy? How do poems and stories explore philosophical beliefs? Readings may include novels, epics, dialogues, sermons, theoretical treatises, and poetry, all engaging with broad questions about meaning, selfhood, divinity, politics, community, value. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Philosophical Inquiry and Life's Meanings, Critical Thinking.",/academics/cas/courses/cas-en-195/
CAS EN 201,Introduction to Literary Studies,"Undergraduate Prerequisites: (CASEN120) or another First Year Writing Seminar (e.g., CAS WR 100 or CAS WR 120) . - Introduction to literary analysis and interpretation. Variable topics. Through frequent writing assignments and discussion, students develop skills in the analysis of literary texts and learn to express their interpretive ideas in correct and persuasive prose. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Writing-Intensive Course.",/academics/cas/courses/cas-en-201/
CAS EN 202,Introduction to Creative Writing,"This is primarily a creative writing workshop, in which students write and revise their own short fiction, creative nonfiction, and poetry, and read their peers' work with generosity, providing constructive feedback. Students also learn to read closely the work of literary masters past and present. Effective Fall 2022, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration.",/academics/cas/courses/cas-en-202/
CAS EN 213,"The ""Odyssey"" and ""Ulysses""","Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - This course consists of a close reading of James Joyce's Ulysses with particular attention to his use of the Odyssey. We also examine the relation of oral and book cultures and other works Joyce takes in, such as the Aeneid, Divine Comedy and Hamlet. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Writing-Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-en-213/
CAS EN 215,Global Modernist Fiction,"A comparative study of five modernist authors from different world cultures: Faulkner, Kafka, Chang, Rushdie, and Murakami. Examines experiments in narrative technique as differently situated responses to the major events and legacy of the twentieth century. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Philosophical Inquiry and Life's Meanings, Critical Thinking.",/academics/cas/courses/cas-en-215/
CAS EN 220,Seminar in Literature,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120). - Fundamentals of literary analysis, interpretation, and research. Intensive study of selected literary texts centered on a particular topic. Attention to different critical approaches. Frequent papers. Limited class size. Satisfies WR 150 requirement. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Writing, Research and Inquiry, Research and Information Literacy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Writing: Research & Inquiry, Oral and/or Signed Communication, Research and Information Literacy.",/academics/cas/courses/cas-en-220/
CAS EN 221,Major Authors,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120). - Introduction to the major works of ancient and medieval literatures that influenced later Continental, English, and American literature: the Bible, Homeric epic, Greek tragedy, Vergil's Aeneid, and Dante's The Divine Comedy. Effective Fall 2018, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Writing-Intensive Course.",/academics/cas/courses/cas-en-221/
CAS EN 230,Environmental Humanities and Society,"Pre- Requisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - Introduces students to Environmental Humanities as an interdisciplinary field exploring our understandings of diverse social, cultural, and aesthetic relationships to lived environments, environmental change, and environmental justice. Effective Spring 2024, this course fulfills a single unit in each of the following BU HUB areas: Writing-Intensive, Ethical Reasoning, Aesthetic Exploration.",/academics/cas/courses/cas-en-230/
CAS EN 304,Writing of Poetry,"Undergraduate Prerequisites: consent of instructor, to whom five to ten poems must be submitted dur ing the period just before classes begin. - This is primarily a poetry writing workshop, in which students write and revise their own poetry, and read their peers' poems with generosity, providing constructive feedback. Students also learn to read closely the work of master poets past and present. Effective Fall 2022, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration.",/academics/cas/courses/cas-en-304/
CAS EN 305,Writing of Fiction,"Undergraduate Prerequisites: consent of instructor, to whom two or three short stories must be submitted during the period just before classes begin. - The writing of short stories and perhaps longer fiction discussed in a workshop setting. For the more advanced student. Individual conferences. Limited enrollment.",/academics/cas/courses/cas-en-305/
CAS EN 306,Introduction to Playwriting,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - This course teaches playwriting craft through lectures, readings, discussion of dramatic writing, writing workshops, attending theatrical events, individual conferences, and the writing of short plays culminating in a one-act. A portfolio of revised work is due at semester's end. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Writing-Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-en-306/
CAS EN 322,British Literature I,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., CAS EN 120 or WR 100 or WR 120), EN 220, and EN 221. - Beginnings of English literature from Anglo-Saxon period to end of the seventeenth century. Topics include the development of various poetic forms, medieval romance, and British drama. Authors may include Chaucer, Kempe, Shakespeare, Marlowe, Donne, and Milton. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-322/
CAS EN 323,British Literature II,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., CAS EN 120 or WR 100 or WR 120), EN 220, EN 221, and EN322. - Overview of English literature between 1700 and 1900. Topics include London as urban center, modern prose fiction, Romantic and Victorian poetry, tensions between religion and science. Authors may include Pope, Swift, Wordsworth, Austen, Dickens, Tennyson, Wilde. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-323/
CAS EN 325,Topics in Early Modern British Literature,"Undergraduate Prerequisites: one previous literature course, or junior or senior standing. - May be repeated for credit as topics change each semester. Topics vary. Past topics include Gender and Revolution: 17th- Century English Women Writers, The Social Media of the English Revolution. Please see English Department’s website for current topic.",/academics/cas/courses/cas-en-325/
CAS EN 326,Arts of Gender,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Examines representations of gender and sexuality in diverse art forms, including drama, dance, film, and literature, and how art reflects historical constructions of gender. Topic for Fall 2023: Gendered Utopias, Gendered Dystopias. Is it possible to create spaces where women, non-binary and queer people, and other outsiders thrive, or do all paths lead inexorably to a dystopian future? Texts include non-fiction by Delany and Nelson and speculative fiction by Atwood and Butler. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, The Individual in Community.",/academics/cas/courses/cas-en-326/
CAS EN 327,Topics in American Literature,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Topics vary. Past topics include Fictions of the Modern American South and Modernism, Race, and Resistance. Please see English Department's Website for current topic..Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration.",/academics/cas/courses/cas-en-327/
CAS EN 328,Women's Literary Cultures,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Writings by women in diverse literary forms, including drama, poetry and prose. How does women's literary culture reflect historical constructions of gender and sexuality? How do writers engage with new literary forms, like the lyric, political treatise, or the novel? Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Aesthetic Exploration.",/academics/cas/courses/cas-en-328/
CAS EN 329,Film Genres & Movements,"An intensive exploration of a particular cinematic genre or movement, paying special attention to how individual films respond to an existing traditions and to the historical and cultural contexts underpinning artistic change. How do genres grow and evolve across historical, cultural and institutional settings? How do particular cinematic movements respond to particular cultural challenges? Course content varies by semester. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-en-329/
CAS EN 333,American Literature: Beginnings to Civil War,"Undergraduate Prerequisites: one previous literature course, or junior or senior standing. - An introduction to the multiple literary traditions of North America (especially that area that would come to be the United States) from the close of the fifteenth century through 1855. Authors include John Winthrop, Anne Bradstreet, Mary Rowlandson, Benjamin Franklin, Phillis Wheatley, William Apess, Washington Irving, Ralph Waldo Emerson, Nathaniel Hawthorne, Herman Melville, Frederick Douglass, Emily Dickinson, Walt Whitman. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-333/
CAS EN 341,History of the Novel in English,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - An introduction to the history of the Anglophone novel, from its origins in early modern England to its status as the dominant literary form of modernity. Readings include Defoe, Austen, Dickens, James, Woolf, Morrison, and Coetzee. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-en-341/
CAS EN 343,Modern Irish Writers,"Readings in Irish fiction, drama, and poetry, with attention to historical context, aesthetics forms, and values, from 1890 to the present, by such writers as Wilde, Yeats, Lady Gregory, Joyce, Bowen, Beckett, Heaney, Boland, Muldoon, and Carr. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Ethical Reasoning, Aesthetic Exploration.",/academics/cas/courses/cas-en-343/
CAS EN 345,Nineteenth-Century American Fiction,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - The development of the American novel in 19th C America: Uncle Tom's Cabin and Moby- Dick, plus Twain, Jacobs, Southworth, Chesnutt. Formal/aesthetic questions will be linked to cultural/historical ones including race and slavery, gender, individualism, and representing America. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-345/
CAS EN 347,Topics in Contemporary Global Fiction,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - May be repeated for credit as topics change each semester. Introduction to contemporary fiction by authors outside Europe and North America. Themes addressed include migration, hybridity, cosmopolitanism, decolonization, citizenship, ethnic conflict, and changing notions of cultural identity. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.",/academics/cas/courses/cas-en-347/
CAS EN 348,Topics in Modern Literature,"Undergraduate Prerequisites: one previous literature course or junior/senior status. - An introduction to modernist literature & culture, detailing the transformations of poetry and fiction amid the early twentieth century's widespread social and technological upheavals. Possible writers include Conrad, Proust, Stein, Eliot, Joyce, Toomer, Freud, Kafka, Woolf, Barnes, Beckett, and more. May be repeated for credit as topics change each semester. Please see English Department’s website for current topic.",/academics/cas/courses/cas-en-348/
CAS EN 349,Contemporary American Fiction,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - US prose fiction from the last few decades, exploring questions of individualism, community, identity, technology, media, religious belief, violence, post-WWII political changes, and our relation to history. Authors may include Roth, Robinson, DeLillo, Pynchon, Morrison, and Lahiri, among others. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, The Individual in Community.",/academics/cas/courses/cas-en-349/
CAS EN 356,"Drama and Performance, 1945 - Present","Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Theater history and performance art from 1945 to today. Analysis of plays through the lens of performance theory, blurring the line between the aesthetic and the social. Playwrights may include Brecht, Hansberry, Valdez, Moraga, Beckett, Kane, Deveare Smith, Shange, Parks. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, The Individual in Community, Creativity/Innovation.",/academics/cas/courses/cas-en-356/
CAS EN 360,Toni Morrison's American Times,"Using historical and literary sources to make visible the interactions between the world of the novel and that of American history, the course examines how Morrison's Song of Solomon, Beloved, Jazz, and Love depict crucial times in American history. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-en-360/
CAS EN 363,Shakespeare I,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Six plays chosen from the following: Richard II, Henry IV, Much Ado About Nothing, As You Like It, Julius Caesar, Troilus and Cressida, Hamlet, Othello, Antony and Cleopatra, and The Winter's Tale. Some attention to the sonnets. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-363/
CAS EN 364,Shakespeare II,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Six or seven plays chosen from the following: Richard III, A Midsummer Night's Dream, Romeo and Juliet, The Merchant of Venice, Twelfth Night, Much Ado About Nothing, Measure for Measure, King Lear, Macbeth, Coriolanus, and The Tempest. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness.",/academics/cas/courses/cas-en-364/
CAS EN 365,Studies in Non-Cinematic Media,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - This course explores the economic, political, and aesthetic implications of the “Marvel Cinematic Universe.” How does the MCU’s interlocking multimedia meganarrative give the impression of a “universe,” and how does that universe interact with the one we live in?. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-en-365/
CAS EN 369,Haruki Murakami and His Sources,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Students read works by Haruki Murakami and by writers who shaped him or were shaped by him, reflect on the nature of intertextuality, and gain a perspective on contemporary literature as operating within a global system of mutual influence. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-en-369/
CAS EN 370,Introduction to African American Women Writers,"Undergraduate Prerequisites: one previous literature course, or junior or senior standing. First-Ye ar Writing Seminar (e.g., WR120) - This course studies the cultural contexts and the ongoing relevance of significant works by African American Women Writers. Works by Jacobs, Butler, Harper, Hurston, Brooks, Kincaid, Morrison and Marshall complemented by critical articles lay out this rich tradition. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-en-370/
CAS EN 373,Detective Fiction,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Major writers in the history of literary crime and detection, mainly British and American, with attention to the genre's cultural contexts and development from the eighteenth century to the present, as well as the literary features and standards of aesthetic evaluation of works in this genre. Authors may include Godwin, Poe, Conan Doyle, Chandler, contemporary authors. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.",/academics/cas/courses/cas-en-373/
CAS EN 375,Special Topics in Cinema and Media Studies,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - May be repeated for credit if section topic differs. An exploration of cinema’s relationship to power and ideology through key texts in the critical theory tradition, from Marx and Engels to the Frankfurt School, Black British cultural studies, and feminist film theory.",/academics/cas/courses/cas-en-375/
CAS EN 377,Literature of the Harlem Renaissance,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - An exploration of the literature of the ""New Negro Renaissance"" or, more popularly, the Harlem Renaissance, 1919-1935. Discussions of essays, fiction, and poetry, three special lectures on the stage, the music, and the visual arts of the Harlem Renaissance. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking.",/academics/cas/courses/cas-en-377/
CAS EN 385,Auteur Filmmaking,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120). - Topic for Fall 2024: Chantal Akerman. A survey of the work of acclaimed Belgian filmmaker Chantal Akerman from the perspective of global art cinema. Assigned films and readings cover a wide range of topics such as documentary aesthetics, queer theory, and feminist film theory. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration.",/academics/cas/courses/cas-en-385/
CAS EN 386,Topics in Anglophone Literature,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - May be repeated for credit as topics change each semester. May be repeated for credit as topics change each semester. Past topics include Post Colonial Theater, Feminist Comics. Please see English Department's Website for current topic.",/academics/cas/courses/cas-en-386/
CAS EN 390,Topics in Comparative Literature,Undergraduate Prerequisites: one previous literature course or junior or senior standing. - May be repeated for credit as topic varies.,/academics/cas/courses/cas-en-390/
CAS EN 393,Technoculture and Horizons of Gender and Race,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - Explores new media theory, postmodernist thought, social media, and video games to confront gender, race, and sexuality. Through critical reading, writing, and hands-on digital technology use, students consider how race, sexuality, and gender live in virtual worlds. Also offered as CAS WS 393. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Digital/Multimedia Expression.",/academics/cas/courses/cas-en-393/
CAS EN 394,Cultures of Science,"Undergraduate Prerequisites: one previous literature course or junior or senior standing. - This course explores the shared cultures of the sciences and literature from the Enlightenment through the Victorian eras in Britain and Europe. We combine the history of science, the social history of literature and related arts, and sociology of knowledge. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Social Inquiry II.",/academics/cas/courses/cas-en-394/
CAS EN 401,Senior Independent Work,Undergraduate Prerequisites: approval of Honors Committee. - SR INDEP WORK,/academics/cas/courses/cas-en-401/
CAS EN 402,Senior Independent Work,Undergraduate Prerequisites: approval of Honors Committee. - SR INDEP WORK,/academics/cas/courses/cas-en-402/
CAS EN 403,Advanced Writing of Poetry,"This course is is intended for those who wish to learn to write in a variety of poetic forms, voices and styles, and who wish to further develop their skills in writing print-based verse and to deepen their familiarity with contemporary poetry. Effective Spring 2024, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Aesthetic Exploration, Creativity/Innovation.",/academics/cas/courses/cas-en-403/
CAS EN 404,History of Literary Criticism I,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - A historical survey of western literary-critical standards from the earliest surviving formulations in classical Athens to the dawn of the twentieth century. Writers include Plato, Aristotle, Horace, Augustine, Dante, Sidney, Hume, Wordsworth, Marx, Nietzsche. 4 cr. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration.",/academics/cas/courses/cas-en-404/
CAS EN 405,Advanced Writing of Fiction,"Undergraduate Prerequisites: consent of instructor, to whom two or three short stories must be subm itted during the period just before classes begin. - The writing of short stories and perhaps longer fiction. Manuscripts read and discussed in class. Individual conferences. Effective Spring 2023, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration.",/academics/cas/courses/cas-en-405/
CAS EN 406,History of Literary Criticism II,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - Survey of recent literary critical theory. Effective Spring 2020, this course fulfills a single unit in the following BU Hub area: Philosophical Inquiry and Life's Meanings.",/academics/cas/courses/cas-en-406/
CAS EN 437,Thinking with Animals,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - In literary texts, animals appear as tricksters, clueless victims, predatory men, eloquent captives, and heroic matriarchs. This course analyzes narratives about animals in Anglo-American philosophy, science, and literature. Human myths about animals and the supremacy of the human are central to beliefs about race, gender, and private property. Focuses on animals as food, embodied mindedness, environmental justice, and ecological thinking. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Philosophical Inquiry and Life's Meanings.",/academics/cas/courses/cas-en-437/
CAS EN 452,Asian American Studies: Theory and Methods,"A brief overview of the theories and methods of Asian American studies, reading theory, literature, history, culture, sociology, and legal study to define a mode of inquiry and action inspired by a legacy of activism and survival from the Asian diaspora. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Philosophical Inquiry and Life's Meanings.",/academics/cas/courses/cas-en-452/
CAS EN 465,Critical Studies in Literature and Society,"Undergraduate Prerequisites: Two previous literature courses or junior or senior status. - Topic varies by semester. Past topics include Fables and Tales, Hamlet/Lear/Macbeth, etc. Please see English Department's website for current topic.",/academics/cas/courses/cas-en-465/
CAS EN 466,Critical Studies in Literature and Society,"Undergraduate Prerequisites: Two previous literature courses or junior or senior status. - Topic varies by semester. Past topics include Literature of the Early Black Atlantic, Environmental Imaginaries, etc. Please see English Department's website or contact instructor for current topic.",/academics/cas/courses/cas-en-466/
CAS EN 474,Critical Studies in Literary Genres,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - Topic varies. Past topics include Film Noir, Early Modern Women Authors, etc. Please see English Department's website or contact instructor for current topic.",/academics/cas/courses/cas-en-474/
CAS EN 476,Critical Studies in Literature and Gender,"Undergraduate Prerequisites: two previous literature courses or junior or senior standing. - Introduces major movements and texts in gender and sexuality studies central to literary studies. Sub-topics include race, nationhood, family, erotics, the self, public/private spheres, and literary forms. Readings include theoretical works (feminist, queer, transgender, etc.), novels, graphic novels and films.",/academics/cas/courses/cas-en-476/
